date,department_id,shift,scheduled_staff,actual_staff,staffing_hours
2025-01-05,D02,Day,4,5,40
2025-01-05,D02,Evening,5,5,40
2025-01-05,D02,Night,5,5,40
2025-01-05,D03,Day,8,7,56
2025-01-05,D03,Evening,8,8,64
2025-01-05,D03,Night,5,3,24
2025-01-05,D04,Day,9,9,72
2025-01-05,D04,Evening,9,10,80
2025-01-05,D04,Night,8,8,64
2025-01-05,D05,Day,6,6,48
2025-01-05,D05,Evening,5,5,40
2025-01-05,D05,Night,8,6,48
2025-01-05,D06,Day,4,4,32
2025-01-05,D06,Evening,6,5,40
2025-01-05,D06,Night,3,2,16
2025-01-06,D01,Day,13,14,112
2025-01-06,D01,Evening,11,11,88
2025-01-06,D01,Night,8,8,64
2025-01-06,D02,Day,5,5,40
2025-01-06,D02,Evening,7,8,64
2025-01-06,D02,Night,4,4,32
2025-01-06,D03,Day,6,6,48
2025-01-06,D03,Evening,6,6,48
2025-01-06,D03,Night,5,4,32
2025-01-06,D04,Day,4,5,40
2025-01-06,D04,Evening,9,8,64
2025-01-06,D04,Night,5,5,40
2025-01-06,D05,Day,6,7,56
2025-01-06,D05,Evening,6,4,32
2025-01-06,D05,Night,6,7,56
2025-01-06,D06,Day,6,6,48
2025-01-06,D06,Evening,6,6,48
2025-01-06,D06,Night,7,7,56
2025-01-07,D01,Day,10,11,88
2025-01-07,D01,Evening,11,10,80
2025-01-07,D01,Night,8,8,64
2025-01-07,D02,Day,4,4,32
2025-01-07,D02,Evening,7,7,56
2025-01-07,D02,Night,2,2,16
2025-01-07,D03,Day,3,3,24
2025-01-07,D03,Evening,7,7,56
2025-01-07,D03,Night,7,6,48
2025-01-07,D04,Day,9,10,80
2025-01-07,D04,Evening,7,8,64
2025-01-07,D04,Night,8,7,56
2025-01-07,D05,Day,8,7,56
2025-01-07,D05,Evening,5,3,24
2025-01-07,D05,Night,7,8,64
2025-01-07,D06,Day,4,5,40
2025-01-07,D06,Evening,4,4,32
2025-01-07,D06,Night,2,1,8
2025-01-08,D01,Day,8,8,64
2025-01-08,D01,Evening,7,7,56
2025-01-08,D01,Night,9,9,72
2025-01-08,D02,Day,5,5,40
2025-01-08,D02,Evening,5,5,40
2025-01-08,D02,Night,5,3,24
2025-01-08,D03,Day,6,6,48
2025-01-08,D03,Evening,3,3,24
2025-01-08,D03,Night,5,3,24
2025-01-08,D04,Day,9,9,72
2025-01-08,D04,Evening,7,6,48
2025-01-08,D04,Night,8,8,64
2025-01-08,D05,Day,6,6,48
2025-01-08,D05,Evening,5,4,32
2025-01-08,D05,Night,4,2,16
2025-01-08,D06,Day,4,2,16
2025-01-08,D06,Evening,6,6,48
2025-01-08,D06,Night,7,7,56
2025-01-09,D01,Day,7,7,56
2025-01-09,D01,Evening,9,7,56
2025-01-09,D01,Night,5,4,32
2025-01-09,D02,Day,4,2,16
2025-01-09,D02,Evening,6,4,32
2025-01-09,D02,Night,4,3,24
2025-01-09,D03,Day,7,7,56
2025-01-09,D03,Evening,4,5,40
2025-01-09,D03,Night,6,4,32
2025-01-09,D04,Day,3,1,8
2025-01-09,D04,Evening,5,3,24
2025-01-09,D04,Night,8,7,56
2025-01-09,D05,Day,4,4,32
2025-01-09,D05,Evening,5,5,40
2025-01-09,D05,Night,3,3,24
2025-01-09,D06,Day,5,5,40
2025-01-09,D06,Evening,4,4,32
2025-01-09,D06,Night,5,5,40
2025-01-10,D01,Day,6,6,48
2025-01-10,D01,Evening,9,9,72
2025-01-10,D01,Night,11,12,96
2025-01-10,D02,Day,8,8,64
2025-01-10,D02,Evening,6,6,48
2025-01-10,D02,Night,5,6,48
2025-01-10,D03,Day,6,4,32
2025-01-10,D03,Evening,3,2,16
2025-01-10,D03,Night,8,6,48
2025-01-10,D04,Day,6,6,48
2025-01-10,D04,Evening,8,8,64
2025-01-10,D04,Night,8,6,48
2025-01-10,D05,Day,7,7,56
2025-01-10,D05,Evening,6,7,56
2025-01-10,D05,Night,6,5,40
2025-01-10,D06,Day,5,4,32
2025-01-10,D06,Evening,5,6,48
2025-01-10,D06,Night,6,4,32
2025-01-11,D01,Day,7,7,56
2025-01-11,D01,Evening,10,11,88
2025-01-11,D01,Night,9,9,72
2025-01-11,D02,Day,7,7,56
2025-01-11,D02,Evening,6,5,40
2025-01-11,D02,Night,7,5,40
2025-01-11,D03,Day,5,5,40
2025-01-11,D03,Evening,6,4,32
2025-01-11,D03,Night,3,2,16
2025-01-11,D04,Day,12,10,80
2025-01-11,D04,Evening,10,8,64
2025-01-11,D04,Night,8,8,64
2025-01-11,D05,Day,6,7,56
2025-01-11,D05,Evening,5,6,48
2025-01-11,D05,Night,8,7,56
2025-01-11,D06,Day,6,5,40
2025-01-11,D06,Evening,5,6,48
2025-01-11,D06,Night,6,5,40
2025-01-12,D01,Day,10,9,72
2025-01-12,D01,Evening,11,11,88
2025-01-12,D01,Night,7,7,56
2025-01-12,D02,Day,8,8,64
2025-01-12,D02,Evening,7,7,56
2025-01-12,D02,Night,8,9,72
2025-01-12,D03,Day,5,5,40
2025-01-12,D03,Evening,6,6,48
2025-01-12,D03,Night,5,6,48
2025-01-12,D04,Day,7,7,56
2025-01-12,D04,Evening,6,6,48
2025-01-12,D04,Night,8,6,48
2025-01-12,D05,Day,6,4,32
2025-01-12,D05,Evening,7,7,56
2025-01-12,D05,Night,5,5,40
2025-01-12,D06,Day,6,7,56
2025-01-12,D06,Evening,5,6,48
2025-01-12,D06,Night,2,2,16
2025-01-13,D01,Day,9,9,72
2025-01-13,D01,Evening,6,6,48
2025-01-13,D01,Night,10,9,72
2025-01-13,D02,Day,6,6,48
2025-01-13,D02,Evening,9,8,64
2025-01-13,D02,Night,6,5,40
2025-01-13,D03,Day,5,5,40
2025-01-13,D03,Evening,6,6,48
2025-01-13,D03,Night,9,8,64
2025-01-13,D04,Day,9,9,72
2025-01-13,D04,Evening,6,6,48
2025-01-13,D04,Night,10,11,88
2025-01-13,D05,Day,6,6,48
2025-01-13,D05,Evening,5,5,40
2025-01-13,D05,Night,4,4,32
2025-01-13,D06,Day,5,3,24
2025-01-13,D06,Evening,5,4,32
2025-01-13,D06,Night,5,4,32
2025-01-14,D01,Day,7,7,56
2025-01-14,D01,Evening,6,6,48
2025-01-14,D01,Night,10,9,72
2025-01-14,D02,Day,6,5,40
2025-01-14,D02,Evening,4,4,32
2025-01-14,D02,Night,5,5,40
2025-01-14,D03,Day,5,5,40
2025-01-14,D03,Evening,7,7,56
2025-01-14,D03,Night,5,5,40
2025-01-14,D04,Day,9,9,72
2025-01-14,D04,Evening,8,9,72
2025-01-14,D04,Night,10,10,80
2025-01-14,D05,Day,5,5,40
2025-01-14,D05,Evening,4,4,32
2025-01-14,D05,Night,5,5,40
2025-01-14,D06,Day,4,4,32
2025-01-14,D06,Evening,2,3,24
2025-01-14,D06,Night,5,4,32
2025-01-15,D01,Day,8,8,64
2025-01-15,D01,Evening,8,8,64
2025-01-15,D01,Night,6,7,56
2025-01-15,D02,Day,7,7,56
2025-01-15,D02,Evening,7,8,64
2025-01-15,D02,Night,7,7,56
2025-01-15,D03,Day,7,8,64
2025-01-15,D03,Evening,5,5,40
2025-01-15,D03,Night,4,2,16
2025-01-15,D04,Day,7,5,40
2025-01-15,D04,Evening,5,5,40
2025-01-15,D04,Night,8,7,56
2025-01-15,D05,Day,7,5,40
2025-01-15,D05,Evening,7,7,56
2025-01-15,D05,Night,6,6,48
2025-01-15,D06,Day,4,4,32
2025-01-15,D06,Evening,5,5,40
2025-01-15,D06,Night,5,5,40
2025-01-16,D01,Day,8,9,72
2025-01-16,D01,Evening,9,9,72
2025-01-16,D01,Night,7,7,56
2025-01-16,D02,Day,6,6,48
2025-01-16,D02,Evening,2,2,16
2025-01-16,D02,Night,2,2,16
2025-01-16,D03,Day,4,4,32
2025-01-16,D03,Evening,6,6,48
2025-01-16,D03,Night,5,3,24
2025-01-16,D04,Day,8,8,64
2025-01-16,D04,Evening,6,4,32
2025-01-16,D04,Night,9,9,72
2025-01-16,D05,Day,4,2,16
2025-01-16,D05,Evening,4,4,32
2025-01-16,D05,Night,5,6,48
2025-01-16,D06,Day,6,6,48
2025-01-16,D06,Evening,2,3,24
2025-01-16,D06,Night,6,4,32
2025-01-17,D01,Day,10,11,88
2025-01-17,D01,Evening,11,12,96
2025-01-17,D01,Night,10,10,80
2025-01-17,D02,Day,9,9,72
2025-01-17,D02,Evening,7,7,56
2025-01-17,D02,Night,4,4,32
2025-01-17,D03,Day,6,6,48
2025-01-17,D03,Evening,8,7,56
2025-01-17,D03,Night,4,5,40
2025-01-17,D04,Day,7,7,56
2025-01-17,D04,Evening,9,7,56
2025-01-17,D04,Night,7,8,64
2025-01-17,D05,Day,5,4,32
2025-01-17,D05,Evening,5,5,40
2025-01-17,D05,Night,5,5,40
2025-01-17,D06,Day,5,3,24
2025-01-17,D06,Evening,3,2,16
2025-01-17,D06,Night,4,2,16
2025-01-18,D01,Day,6,7,56
2025-01-18,D01,Evening,9,8,64
2025-01-18,D01,Night,6,5,40
2025-01-18,D02,Day,4,3,24
2025-01-18,D02,Evening,7,8,64
2025-01-18,D02,Night,6,6,48
2025-01-18,D03,Day,6,6,48
2025-01-18,D03,Evening,4,4,32
2025-01-18,D03,Night,7,7,56
2025-01-18,D04,Day,5,6,48
2025-01-18,D04,Evening,7,7,56
2025-01-18,D04,Night,8,8,64
2025-01-18,D05,Day,6,6,48
2025-01-18,D05,Evening,5,6,48
2025-01-18,D05,Night,5,6,48
2025-01-18,D06,Day,3,1,8
2025-01-18,D06,Evening,6,6,48
2025-01-18,D06,Night,4,5,40
2025-01-19,D01,Day,9,9,72
2025-01-19,D01,Evening,11,11,88
2025-01-19,D01,Night,9,10,80
2025-01-19,D02,Day,5,5,40
2025-01-19,D02,Evening,6,4,32
2025-01-19,D02,Night,6,7,56
2025-01-19,D03,Day,2,1,8
2025-01-19,D03,Evening,7,7,56
2025-01-19,D03,Night,9,9,72
2025-01-19,D04,Day,8,8,64
2025-01-19,D04,Evening,8,7,56
2025-01-19,D04,Night,5,4,32
2025-01-19,D05,Day,6,6,48
2025-01-19,D05,Evening,3,2,16
2025-01-19,D05,Night,4,2,16
2025-01-19,D06,Day,2,2,16
2025-01-19,D06,Evening,6,5,40
2025-01-19,D06,Night,7,8,64
2025-01-20,D01,Day,8,7,56
2025-01-20,D01,Evening,8,9,72
2025-01-20,D01,Night,11,10,80
2025-01-20,D02,Day,4,2,16
2025-01-20,D02,Evening,5,5,40
2025-01-20,D02,Night,5,5,40
2025-01-20,D03,Day,7,7,56
2025-01-20,D03,Evening,3,3,24
2025-01-20,D03,Night,9,8,64
2025-01-20,D04,Day,8,6,48
2025-01-20,D04,Evening,7,8,64
2025-01-20,D04,Night,5,5,40
2025-01-20,D05,Day,5,5,40
2025-01-20,D05,Evening,9,7,56
2025-01-20,D05,Night,5,3,24
2025-01-20,D06,Day,4,4,32
2025-01-20,D06,Evening,5,5,40
2025-01-20,D06,Night,8,8,64
2025-01-21,D01,Day,7,6,48
2025-01-21,D01,Evening,10,10,80
2025-01-21,D01,Night,8,6,48
2025-01-21,D02,Day,5,5,40
2025-01-21,D02,Evening,5,6,48
2025-01-21,D02,Night,7,7,56
2025-01-21,D03,Day,6,6,48
2025-01-21,D03,Evening,6,6,48
2025-01-21,D03,Night,7,8,64
2025-01-21,D04,Day,7,5,40
2025-01-21,D04,Evening,5,5,40
2025-01-21,D04,Night,7,5,40
2025-01-21,D05,Day,3,4,32
2025-01-21,D05,Evening,6,6,48
2025-01-21,D05,Night,3,3,24
2025-01-21,D06,Day,2,3,24
2025-01-21,D06,Evening,3,3,24
2025-01-21,D06,Night,4,4,32
2025-01-22,D01,Day,12,10,80
2025-01-22,D01,Evening,9,7,56
2025-01-22,D01,Night,11,11,88
2025-01-22,D02,Day,6,4,32
2025-01-22,D02,Evening,5,5,40
2025-01-22,D02,Night,5,4,32
2025-01-22,D03,Day,6,7,56
2025-01-22,D03,Evening,5,3,24
2025-01-22,D03,Night,7,7,56
2025-01-22,D04,Day,8,8,64
2025-01-22,D04,Evening,7,5,40
2025-01-22,D04,Night,7,5,40
2025-01-22,D05,Day,7,8,64
2025-01-22,D05,Evening,6,6,48
2025-01-22,D05,Night,6,6,48
2025-01-22,D06,Day,6,5,40
2025-01-22,D06,Evening,2,2,16
2025-01-22,D06,Night,4,2,16
2025-01-23,D01,Day,11,10,80
2025-01-23,D01,Evening,10,11,88
2025-01-23,D01,Night,5,6,48
2025-01-23,D02,Day,6,4,32
2025-01-23,D02,Evening,5,5,40
2025-01-23,D02,Night,5,5,40
2025-01-23,D03,Day,4,3,24
2025-01-23,D03,Evening,7,7,56
2025-01-23,D03,Night,5,4,32
2025-01-23,D04,Day,6,5,40
2025-01-23,D04,Evening,9,9,72
2025-01-23,D04,Night,9,7,56
2025-01-23,D05,Day,6,7,56
2025-01-23,D05,Evening,2,1,8
2025-01-23,D05,Night,5,5,40
2025-01-23,D06,Day,2,2,16
2025-01-23,D06,Evening,3,3,24
2025-01-23,D06,Night,3,3,24
2025-01-24,D01,Day,9,9,72
2025-01-24,D01,Evening,11,10,80
2025-01-24,D01,Night,6,7,56
2025-01-24,D02,Day,7,6,48
2025-01-24,D02,Evening,4,2,16
2025-01-24,D02,Night,7,5,40
2025-01-24,D03,Day,7,5,40
2025-01-24,D03,Evening,6,6,48
2025-01-24,D03,Night,6,6,48
2025-01-24,D04,Day,8,7,56
2025-01-24,D04,Evening,10,10,80
2025-01-24,D04,Night,8,8,64
2025-01-24,D05,Day,6,6,48
2025-01-24,D05,Evening,3,3,24
2025-01-24,D05,Night,7,8,64
2025-01-24,D06,Day,6,6,48
2025-01-24,D06,Evening,2,1,8
2025-01-24,D06,Night,5,5,40
2025-01-25,D01,Day,11,12,96
2025-01-25,D01,Evening,10,8,64
2025-01-25,D01,Night,7,6,48
2025-01-25,D02,Day,7,7,56
2025-01-25,D02,Evening,5,5,40
2025-01-25,D02,Night,6,7,56
2025-01-25,D03,Day,5,4,32
2025-01-25,D03,Evening,7,6,48
2025-01-25,D03,Night,5,6,48
2025-01-25,D04,Day,10,10,80
2025-01-25,D04,Evening,9,10,80
2025-01-25,D04,Night,6,7,56
2025-01-25,D05,Day,6,6,48
2025-01-25,D05,Evening,5,5,40
2025-01-25,D05,Night,7,6,48
2025-01-25,D06,Day,2,2,16
2025-01-25,D06,Evening,3,2,16
2025-01-25,D06,Night,4,4,32
2025-01-26,D01,Day,8,6,48
2025-01-26,D01,Evening,8,6,48
2025-01-26,D01,Night,8,8,64
2025-01-26,D02,Day,5,5,40
2025-01-26,D02,Evening,4,2,16
2025-01-26,D02,Night,8,8,64
2025-01-26,D03,Day,3,1,8
2025-01-26,D03,Evening,5,5,40
2025-01-26,D03,Night,8,7,56
2025-01-26,D04,Day,9,9,72
2025-01-26,D04,Evening,10,10,80
2025-01-26,D04,Night,7,7,56
2025-01-26,D05,Day,4,4,32
2025-01-26,D05,Evening,7,7,56
2025-01-26,D05,Night,4,5,40
2025-01-26,D06,Day,4,2,16
2025-01-26,D06,Evening,5,5,40
2025-01-26,D06,Night,5,5,40
2025-01-27,D01,Day,10,11,88
2025-01-27,D01,Evening,10,8,64
2025-01-27,D01,Night,7,5,40
2025-01-27,D02,Day,4,4,32
2025-01-27,D02,Evening,5,4,32
2025-01-27,D02,Night,7,5,40
2025-01-27,D03,Day,7,7,56
2025-01-27,D03,Evening,6,7,56
2025-01-27,D03,Night,4,5,40
2025-01-27,D04,Day,6,5,40
2025-01-27,D04,Evening,7,8,64
2025-01-27,D04,Night,9,7,56
2025-01-27,D05,Day,6,5,40
2025-01-27,D05,Evening,4,3,24
2025-01-27,D05,Night,7,5,40
2025-01-27,D06,Day,3,2,16
2025-01-27,D06,Evening,4,3,24
2025-01-27,D06,Night,4,4,32
2025-01-28,D01,Day,10,10,80
2025-01-28,D01,Evening,8,9,72
2025-01-28,D01,Night,12,12,96
2025-01-28,D02,Day,5,6,48
2025-01-28,D02,Evening,6,6,48
2025-01-28,D02,Night,6,5,40
2025-01-28,D03,Day,5,6,48
2025-01-28,D03,Evening,4,4,32
2025-01-28,D03,Night,3,3,24
2025-01-28,D04,Day,7,6,48
2025-01-28,D04,Evening,7,7,56
2025-01-28,D04,Night,9,8,64
2025-01-28,D05,Day,6,6,48
2025-01-28,D05,Evening,7,7,56
2025-01-28,D05,Night,6,5,40
2025-01-28,D06,Day,3,3,24
2025-01-28,D06,Evening,4,4,32
2025-01-28,D06,Night,2,1,8
2025-01-29,D01,Day,9,8,64
2025-01-29,D01,Evening,8,8,64
2025-01-29,D01,Night,9,9,72
2025-01-29,D02,Day,5,5,40
2025-01-29,D02,Evening,5,6,48
2025-01-29,D02,Night,6,6,48
2025-01-29,D03,Day,7,8,64
2025-01-29,D03,Evening,4,2,16
2025-01-29,D03,Night,7,7,56
2025-01-29,D04,Day,10,9,72
2025-01-29,D04,Evening,8,8,64
2025-01-29,D04,Night,5,4,32
2025-01-29,D05,Day,5,4,32
2025-01-29,D05,Evening,3,3,24
2025-01-29,D05,Night,7,6,48
2025-01-29,D06,Day,5,4,32
2025-01-29,D06,Evening,2,1,8
2025-01-29,D06,Night,4,5,40
2025-01-30,D01,Day,7,8,64
2025-01-30,D01,Evening,6,6,48
2025-01-30,D01,Night,10,10,80
2025-01-30,D02,Day,6,6,48
2025-01-30,D02,Evening,5,5,40
2025-01-30,D02,Night,4,4,32
2025-01-30,D03,Day,5,4,32
2025-01-30,D03,Evening,5,3,24
2025-01-30,D03,Night,7,8,64
2025-01-30,D04,Day,7,6,48
2025-01-30,D04,Evening,5,4,32
2025-01-30,D04,Night,10,8,64
2025-01-30,D05,Day,5,5,40
2025-01-30,D05,Evening,7,7,56
2025-01-30,D05,Night,6,6,48
2025-01-30,D06,Day,7,5,40
2025-01-30,D06,Evening,6,6,48
2025-01-30,D06,Night,5,3,24
2025-01-31,D01,Day,7,6,48
2025-01-31,D01,Evening,10,11,88
2025-01-31,D01,Night,8,7,56
2025-01-31,D02,Day,2,1,8
2025-01-31,D02,Evening,5,5,40
2025-01-31,D02,Night,6,5,40
2025-01-31,D03,Day,7,7,56
2025-01-31,D03,Evening,6,7,56
2025-01-31,D03,Night,4,5,40
2025-01-31,D04,Day,8,9,72
2025-01-31,D04,Evening,7,8,64
2025-01-31,D04,Night,8,9,72
2025-01-31,D05,Day,7,8,64
2025-01-31,D05,Evening,7,6,48
2025-01-31,D05,Night,4,4,32
2025-01-31,D06,Day,4,4,32
2025-01-31,D06,Evening,6,6,48
2025-01-31,D06,Night,3,3,24
2025-02-01,D01,Day,9,10,80
2025-02-01,D01,Evening,8,7,56
2025-02-01,D01,Night,11,12,96
2025-02-01,D02,Day,5,6,48
2025-02-01,D02,Evening,10,9,72
2025-02-01,D02,Night,5,3,24
2025-02-01,D03,Day,5,3,24
2025-02-01,D03,Evening,5,6,48
2025-02-01,D03,Night,3,3,24
2025-02-01,D04,Day,9,10,80
2025-02-01,D04,Evening,9,9,72
2025-02-01,D04,Night,7,6,48
2025-02-01,D05,Day,4,5,40
2025-02-01,D05,Evening,6,4,32
2025-02-01,D05,Night,2,1,8
2025-02-01,D06,Day,3,4,32
2025-02-01,D06,Evening,4,5,40
2025-02-01,D06,Night,4,2,16
2025-02-02,D01,Day,10,11,88
2025-02-02,D01,Evening,10,10,80
2025-02-02,D01,Night,8,9,72
2025-02-02,D02,Day,3,3,24
2025-02-02,D02,Evening,7,8,64
2025-02-02,D02,Night,6,4,32
2025-02-02,D03,Day,3,4,32
2025-02-02,D03,Evening,6,6,48
2025-02-02,D03,Night,5,6,48
2025-02-02,D04,Day,7,6,48
2025-02-02,D04,Evening,9,10,80
2025-02-02,D04,Night,4,5,40
2025-02-02,D05,Day,7,6,48
2025-02-02,D05,Evening,6,7,56
2025-02-02,D05,Night,4,3,24
2025-02-02,D06,Day,6,6,48
2025-02-02,D06,Evening,5,5,40
2025-02-02,D06,Night,5,4,32
2025-02-03,D01,Day,9,10,80
2025-02-03,D01,Evening,11,12,96
2025-02-03,D01,Night,9,9,72
2025-02-03,D02,Day,7,5,40
2025-02-03,D02,Evening,3,3,24
2025-02-03,D02,Night,5,3,24
2025-02-03,D03,Day,6,6,48
2025-02-03,D03,Evening,6,4,32
2025-02-03,D03,Night,7,7,56
2025-02-03,D04,Day,6,6,48
2025-02-03,D04,Evening,6,7,56
2025-02-03,D04,Night,7,7,56
2025-02-03,D05,Day,6,6,48
2025-02-03,D05,Evening,5,5,40
2025-02-03,D05,Night,5,5,40
2025-02-03,D06,Day,4,5,40
2025-02-03,D06,Evening,3,3,24
2025-02-03,D06,Night,4,3,24
2025-02-04,D01,Day,10,10,80
2025-02-04,D01,Evening,8,9,72
2025-02-04,D01,Night,11,11,88
2025-02-04,D02,Day,8,8,64
2025-02-04,D02,Evening,3,3,24
2025-02-04,D02,Night,5,6,48
2025-02-04,D03,Day,4,4,32
2025-02-04,D03,Evening,6,7,56
2025-02-04,D03,Night,5,6,48
2025-02-04,D04,Day,7,7,56
2025-02-04,D04,Evening,7,5,40
2025-02-04,D04,Night,7,8,64
2025-02-04,D05,Day,6,4,32
2025-02-04,D05,Evening,7,7,56
2025-02-04,D05,Night,7,6,48
2025-02-04,D06,Day,4,2,16
2025-02-04,D06,Evening,6,6,48
2025-02-04,D06,Night,7,6,48
2025-02-05,D01,Day,9,8,64
2025-02-05,D01,Evening,9,10,80
2025-02-05,D01,Night,10,10,80
2025-02-05,D02,Day,6,6,48
2025-02-05,D02,Evening,5,3,24
2025-02-05,D02,Night,7,7,56
2025-02-05,D03,Day,6,4,32
2025-02-05,D03,Evening,6,6,48
2025-02-05,D03,Night,6,6,48
2025-02-05,D04,Day,6,7,56
2025-02-05,D04,Evening,8,8,64
2025-02-05,D04,Night,10,10,80
2025-02-05,D05,Day,6,5,40
2025-02-05,D05,Evening,2,1,8
2025-02-05,D05,Night,6,6,48
2025-02-05,D06,Day,6,7,56
2025-02-05,D06,Evening,4,2,16
2025-02-05,D06,Night,6,6,48
2025-02-06,D01,Day,7,6,48
2025-02-06,D01,Evening,8,8,64
2025-02-06,D01,Night,10,9,72
2025-02-06,D02,Day,4,3,24
2025-02-06,D02,Evening,3,3,24
2025-02-06,D02,Night,4,4,32
2025-02-06,D03,Day,4,4,32
2025-02-06,D03,Evening,7,5,40
2025-02-06,D03,Night,7,7,56
2025-02-06,D04,Day,6,7,56
2025-02-06,D04,Evening,8,8,64
2025-02-06,D04,Night,7,7,56
2025-02-06,D05,Day,4,4,32
2025-02-06,D05,Evening,6,6,48
2025-02-06,D05,Night,6,6,48
2025-02-06,D06,Day,5,5,40
2025-02-06,D06,Evening,6,6,48
2025-02-06,D06,Night,3,3,24
2025-02-07,D01,Day,10,11,88
2025-02-07,D01,Evening,8,7,56
2025-02-07,D01,Night,7,5,40
2025-02-07,D02,Day,6,7,56
2025-02-07,D02,Evening,5,5,40
2025-02-07,D02,Night,3,2,16
2025-02-07,D03,Day,4,4,32
2025-02-07,D03,Evening,4,3,24
2025-02-07,D03,Night,5,5,40
2025-02-07,D04,Day,7,6,48
2025-02-07,D04,Evening,10,11,88
2025-02-07,D04,Night,8,6,48
2025-02-07,D05,Day,7,7,56
2025-02-07,D05,Evening,5,4,32
2025-02-07,D05,Night,2,1,8
2025-02-07,D06,Day,5,6,48
2025-02-07,D06,Evening,3,4,32
2025-02-07,D06,Night,6,4,32
2025-02-08,D01,Day,6,4,32
2025-02-08,D01,Evening,8,8,64
2025-02-08,D01,Night,10,10,80
2025-02-08,D02,Day,6,6,48
2025-02-08,D02,Evening,4,3,24
2025-02-08,D02,Night,5,6,48
2025-02-08,D03,Day,2,2,16
2025-02-08,D03,Evening,4,4,32
2025-02-08,D03,Night,5,3,24
2025-02-08,D04,Day,9,9,72
2025-02-08,D04,Evening,7,7,56
2025-02-08,D04,Night,6,6,48
2025-02-08,D05,Day,6,6,48
2025-02-08,D05,Evening,6,4,32
2025-02-08,D05,Night,7,7,56
2025-02-08,D06,Day,6,6,48
2025-02-08,D06,Evening,3,3,24
2025-02-08,D06,Night,3,2,16
2025-02-09,D01,Day,8,8,64
2025-02-09,D01,Evening,8,8,64
2025-02-09,D01,Night,8,7,56
2025-02-09,D02,Day,3,3,24
2025-02-09,D02,Evening,6,5,40
2025-02-09,D02,Night,3,3,24
2025-02-09,D03,Day,6,5,40
2025-02-09,D03,Evening,7,6,48
2025-02-09,D03,Night,5,5,40
2025-02-09,D04,Day,9,9,72
2025-02-09,D04,Evening,8,8,64
2025-02-09,D04,Night,8,7,56
2025-02-09,D05,Day,7,8,64
2025-02-09,D05,Evening,6,4,32
2025-02-09,D05,Night,8,9,72
2025-02-09,D06,Day,5,4,32
2025-02-09,D06,Evening,5,5,40
2025-02-09,D06,Night,8,9,72
2025-02-10,D01,Day,9,10,80
